Size,Time(Ms),Iterations
100,0.0506,1201
100,0.1518,1201
100,0.1055,1201
100,0.045,1201
100,0.0431,1201
200,0.1024,2965
200,0.104,2965
200,0.1114,2965
200,0.282,3562
200,0.2103,2965
300,0.3691,5038
300,0.2649,5038
300,0.1779,5038
300,0.1622,4739
300,0.3244,4739
400,0.5181,7106
400,0.2871,7106
400,0.0851,6707
400,0.0398,6707
400,0.0822,6707
500,0.0591,9869
500,0.0577,9370
500,0.0725,9370
500,0.0976,9370
500,0.111,9869
600,0.2647,11241
600,0.3344,11840
600,0.1328,11840
600,0.1792,11241
600,0.1133,11840
700,0.1909,14511
700,0.3283,13812
700,0.1356,13812
700,0.0777,13812
700,0.0771,14511
800,0.1023,17375
800,0.1039,17375
800,0.1342,16576
800,0.5509,16576
800,0.1137,16576
900,0.1166,18647
900,0.1244,17748
900,0.1124,18647
900,0.1267,18647
900,0.099,18647
1000,0.0673,21710
1000,0.0677,22709
1000,0.1574,22709
1000,0.1309,21710
1000,0.1426,21710
1100,0.1633,23874
1100,0.0735,24973
1100,0.0722,23874
1100,0.071,23874
1100,0.0709,23874
1200,0.0805,28434
1200,0.0806,28434
1200,0.1706,30832
1200,0.166,32031
1200,0.0837,29633
1300,0.087,30809
1300,0.0941,30809
1300,0.1009,32108
1300,0.096,30809
1300,0.0967,29510
1400,0.1273,33184
1400,0.1016,31785
1400,0.2012,33184
1400,0.0977,33184
1400,0.0988,34583
1500,0.1177,34052
1500,0.1175,34052
1500,0.1178,34052
1500,0.1056,34052
1500,0.1023,35551
1600,0.2544,39519
1600,0.2874,36321
1600,0.124,39519
1600,0.1149,39519
1600,0.1204,39519
1700,0.1363,41986
1700,0.2562,41986
1700,0.2497,41986
1700,0.1304,40287
1700,0.1261,41986
1800,0.1368,46249
1800,0.313,44450
1800,0.2737,46249
1800,0.1804,46249
1800,0.3015,46249
1900,0.1395,46918
1900,0.4829,45019
1900,0.3209,45019
1900,0.1398,46918
1900,0.1463,45019
2000,0.1589,53378
2000,0.2281,51379
2000,0.1589,51379
2000,0.2192,59375
2000,0.1587,53378
2100,0.1628,53947
2100,0.1505,51848
2100,0.3419,51848
2100,0.3152,51848
2100,0.155,51848
2200,0.1575,56516
2200,0.1583,56516
2200,0.1564,56516
2200,0.282,56516
2200,0.2818,56516
2300,0.3286,59086
2300,0.4223,61385
2300,0.3351,59086
2300,0.1811,59086
2300,0.1812,61385
2400,0.1839,61635
2400,0.2103,59236
2400,0.2551,64034
2400,0.2297,59236
2400,0.2682,59236
2500,0.1862,64224
2500,0.1848,64224
2500,0.1947,61725
2500,0.1971,61725
2500,0.2,61725
2600,0.2042,69379
2600,0.2011,71978
2600,0.2303,71978
2600,0.2105,71978
2600,0.1929,66780
2700,0.2098,74759
2700,0.2184,74759
2700,0.4183,74759
2700,0.2163,74759
2700,0.215,74759
2800,0.2375,83109
2800,0.2323,83109
2800,0.2373,80310
2800,0.4548,80310
2800,0.241,83109
2900,0.2325,74482
2900,0.23,77381
2900,0.2224,74482
2900,0.2143,74482
2900,0.465,77381
3000,0.2392,83054
3000,0.2598,77056
3000,0.3057,80055
3000,0.3342,80055
3000,0.3033,83054
3100,0.443,88928
3100,0.2724,82730
3100,0.2725,85829
3100,0.3376,85829
3100,0.3965,85829
3200,0.4868,82185
3200,0.534,85384
3200,0.5005,82185
3200,0.5106,82185
3200,0.4748,85384
3300,0.513,84753
3300,0.5217,84753
3300,0.7313,88052
3300,0.501,88052
3300,0.4744,88052
3400,0.6889,94121
3400,0.5426,100919
3400,0.499,97520
3400,0.5357,97520
3400,0.5318,94121
3500,0.5546,96893
3500,0.5606,100392
3500,0.7658,100392
3500,0.547,100392
3500,0.5615,103891
3600,0.6216,121235
3600,0.6268,110438
3600,0.5926,114037
3600,0.7294,99641
3600,0.5999,114037
3700,0.6301,109823
3700,0.7051,109823
3700,0.5616,113522
3700,0.5534,124619
3700,0.6924,102425
3800,0.5436,105188
3800,0.6718,105188
3800,0.7786,105188
3800,0.5963,101389
3800,0.6111,101389
3900,0.7424,111854
3900,0.6263,111854
3900,0.4528,111854
3900,0.6803,107955
3900,0.6102,115753
4000,0.6194,114721
4000,0.6423,114721
4000,0.7095,114721
4000,0.8082,122719
4000,0.6136,114721
4100,0.6776,109385
4100,0.7068,113484
4100,0.5926,113484
4100,0.6744,113484
4100,0.6452,113484
4200,0.6992,112056
4200,0.8002,116255
4200,0.6265,116255
4200,0.723,116255
4200,0.6953,120454
4300,0.724,119027
4300,0.6259,114728
4300,0.5574,119027
4300,0.5319,114728
4300,0.4697,123326
4400,0.4413,130586
4400,0.4021,134985
4400,0.5249,126187
4400,0.7597,126187
4400,0.7401,139384
4500,0.743,138051
4500,0.6149,124554
4500,0.7274,129053
4500,0.5082,138051
4500,0.7814,133552
4600,0.7017,131910
4600,0.8267,131910
4600,0.669,127311
4600,0.7752,127311
4600,0.7503,131910
4700,0.6764,148886
4700,0.7567,144187
4700,1.1295,148886
4700,0.7278,153585
4700,0.8064,158284
4800,1.0931,152055
4800,0.8984,161653
4800,1.0941,152055
4800,0.8015,147256
4800,1.0539,142457
4900,0.7852,145412
4900,0.8561,140513
4900,0.7961,140513
4900,0.6384,140513
4900,0.9685,135614
5000,0.8362,148381
5000,1.2555,138383
5000,0.8352,148381
5000,1.0711,143382
5000,0.8046,143382
5100,0.8802,156460
5100,0.9684,161559
5100,0.9194,151361
5100,0.8979,151361
5100,0.816,156460
5200,0.9796,159520
5200,0.9042,149122
5200,0.9032,154321
5200,0.9332,159520
5200,0.8923,149122
5300,0.9165,146685
5300,0.8681,151984
5300,0.9971,146685
5300,0.8529,151984
5300,1.0252,146685
5400,0.8887,154859
5400,0.8817,149460
5400,0.8726,154859
5400,0.9741,149460
5400,1.1084,154859
5500,0.8249,157722
5500,1.0323,157722
5500,0.8441,157722
5500,0.8281,152223
5500,0.9106,157722
5600,1.0145,160593
5600,1.2784,154994
5600,0.9021,160593
5600,0.9276,160593
5600,1.1306,160593
5700,0.9298,169159
5700,1.0019,174858
5700,0.9424,191955
5700,1.2528,169159
5700,0.9,169159
5800,1.0499,177911
5800,0.9088,172112
5800,1.1391,177911
5800,0.9458,172112
5800,0.516,177911
5900,1.0656,180997
5900,0.9322,186896
5900,0.8699,180997
5900,0.7671,180997
5900,1.0294,180997
6000,1.2587,184051
6000,1.3303,190050
6000,1.1075,178052
6000,1.2876,178052
6000,1.2152,184051
6100,1.3153,199315
6100,1.1692,199315
6100,1.5936,199315
6100,1.0188,193216
6100,0.7244,199315
6200,1.3974,196386
6200,0.7959,202585
6200,2.0752,202585
6200,0.5981,202585
6200,0.6414,196386
6300,1.0378,199559
6300,1.0106,193260
6300,1.0229,193260
6300,0.771,186961
6300,0.5622,186961
6400,0.5624,189919
6400,0.8226,189919
6400,1.0991,196318
6400,1.1288,189919
6400,1.0956,189919
6500,1.2539,199381
6500,1.1774,199381
6500,1.2583,212379
6500,1.0627,199381
6500,1.069,199381
6600,0.881,209061
6600,1.2484,202462
6600,0.6721,202462
6600,0.589,202462
6600,0.9619,209061
6700,0.594,205524
6700,0.7875,205524
6700,1.1549,198825
6700,1.2693,205524
6700,1.0929,205524
6800,1.343,222193
6800,1.3386,201796
6800,1.2663,208595
6800,1.1966,208595
6800,1.3341,208595
6900,1.1857,204752
6900,1.0803,197853
6900,0.9236,204752
6900,1.2033,204752
6900,1.6271,211651
7000,1.1941,214721
7000,1.4955,221720
7000,1.1908,200723
7000,1.253,214721
7000,1.1862,207722
7100,1.4963,217793
7100,1.4113,217793
7100,1.252,210694
7100,1.3443,210694
7100,1.1981,210694
7200,1.1782,206460
7200,1.1454,206460
7200,1.4893,206460
7200,1.2865,213659
7200,1.3979,213659
7300,1.1486,209332
7300,1.5408,216631
7300,1.1483,216631
7300,1.447,209332
7300,1.3781,216631
7400,1.4778,241783
7400,1.3462,241783
7400,1.4296,234384
7400,1.5961,241783
7400,1.3762,241783
7500,1.914,252546
7500,1.4276,245047
7500,1.3912,245047
7500,1.3838,230049
7500,1.44,237548
7600,1.9331,248316
7600,1.368,233118
7600,1.6689,255915
7600,1.3978,248316
7600,1.2282,248316
7700,1.9956,243887
7700,1.3082,243887
7700,1.4286,259285
7700,1.3773,251586
7700,1.2923,243887
7800,1.3282,247051
7800,0.8263,254850
7800,0.6721,239252
7800,0.995,247051
7800,0.731,247051
7900,0.6973,281819
7900,0.7208,281819
7900,0.6999,273920
7900,0.7147,250223
7900,0.7225,250223
8000,0.7601,269383
8000,0.9628,261384
8000,0.7774,277382
8000,1.1,269383
8000,1.1837,293380
8100,1.4998,288956
8100,1.3658,272758
8100,1.5073,272758
8100,2.1498,264659
8100,1.4864,272758
8200,1.3505,251530
8200,1.572,267928
8200,1.3446,259729
8200,1.381,284326
8200,1.4648,259729
8300,1.3444,254600
8300,1.8088,254600
8300,2.1208,254600
8300,1.3609,262899
8300,1.8522,254600
8400,1.5233,282855
8400,1.3532,266057
8400,2.0822,249259
8400,1.6714,257658
8400,1.3631,274456
8500,1.7277,277722
8500,1.7672,260724
8500,1.3998,277722
8500,1.3957,269223
8500,1.3817,269223
8600,1.7414,280989
8600,1.4178,280989
8600,1.9509,272390
8600,1.616,280989
8600,1.3913,272390
8700,1.6228,292950
8700,2.2881,284251
8700,2.4329,275552
8700,1.4927,310348
8700,2.1813,292950
8800,1.5907,278730
8800,2.293,287529
8800,1.4217,278730
8800,1.932,305127
8800,1.5164,287529
8900,1.4167,272985
8900,1.4256,272985
8900,1.4361,272985
8900,1.4298,272985
8900,2.3451,272985
9000,1.5087,276056
9000,1.6783,276056
9000,1.4694,276056
9000,1.6331,285055
9000,1.4667,276056
9100,2.302,288221
9100,2.2233,270023
9100,2.2182,270023
9100,2.1504,279122
9100,1.4856,270023
9200,2.4119,282195
9200,1.5126,282195
9200,1.8897,291394
9200,1.5251,282195
9200,2.4739,309792
9300,1.5017,285261
9300,1.4918,285261
9300,2.188,285261
9300,2.2967,275962
9300,2.2699,285261
9400,1.5174,288327
9400,1.6128,288327
9400,1.5104,278928
9400,1.5185,288327
9400,2.015,288327
9500,1.541,291397
9500,2.3447,281898
9500,2.2884,281898
9500,1.7219,281898
9500,1.795,291397
9600,1.6406,332854
9600,1.6484,323255
9600,1.6086,304057
9600,1.5798,313656
9600,1.6585,313656
9700,1.5936,307225
9700,2.1249,316924
9700,1.6056,316924
9700,1.6233,316924
9700,1.7349,336322
9800,1.6585,339778
9800,2.0605,329979
9800,1.7535,339778
9800,2.3423,349577
9800,1.614,320180
9900,1.6396,333357
9900,2.4777,323458
9900,1.8143,333357
9900,1.6238,333357
9900,2.1866,323458
10000,2.587,326734
10000,2.1399,336733
10000,2.6877,336733
10000,2.5268,346732
10000,2.4365,336733
