Размер,Эталон_n_log_n_время,Граница_n2_время,Время_массив,Время_ArrayList,Граница_n2_итерации,Итерации_массив,Итерации_ArrayList
100,0.0393,0.0008,0.0792,0.3429,33.67,1201.0,1201.0
200,0.0904,0.0031,0.162,0.4696,134.69,3084.4,3084.4
300,0.146,0.0071,0.2597,0.5708,303.06,4918.4,4918.4
400,0.2045,0.0126,0.2025,0.5618,538.77,6866.6,6866.6
500,0.2651,0.0196,0.0796,0.31,841.83,9569.6,9569.6
600,0.3275,0.0283,0.2049,0.3289,1212.24,11600.4,11600.4
700,0.3913,0.0385,0.1619,0.4448,1649.99,14091.6,14091.6
800,0.4563,0.0503,0.201,0.3321,2155.09,16895.6,16895.6
900,0.5223,0.0637,0.1158,0.2658,2727.54,18467.2,18467.2
1000,0.5894,0.0786,0.1132,0.3116,3367.33,22109.6,22109.6
1100,0.6573,0.0951,0.0902,0.1969,4074.47,24093.8,24093.8
1200,0.7259,0.1132,0.1163,0.346,4848.96,29872.8,29872.8
1300,0.7953,0.1328,0.0949,0.2648,5690.79,30809.0,30809.0
1400,0.8653,0.154,0.1253,0.4293,6599.97,33184.0,33184.0
1500,0.936,0.1768,0.1122,0.365,7576.49,34351.8,34351.8
1600,1.0072,0.2012,0.1802,0.4382,8620.36,38879.4,38879.4
1700,1.0789,0.2271,0.1797,0.581,9731.58,41646.2,41646.2
1800,1.1511,0.2546,0.2411,0.4767,10910.15,45889.2,45889.2
1900,1.2239,0.2837,0.2459,0.593,12156.06,45778.6,45778.6
2000,1.297,0.3143,0.1848,0.5283,13469.32,53777.8,53777.8
2100,1.3706,0.3466,0.2251,0.6424,14849.93,52267.8,52267.8
2200,1.4446,0.3803,0.2072,0.7654,16297.88,56516.0,56516.0
2300,1.519,0.4157,0.2897,0.6871,17813.18,60005.6,60005.6
2400,1.5938,0.4526,0.2294,0.6259,19395.82,60675.4,60675.4
2500,1.6689,0.4911,0.1926,0.6446,21045.81,62724.6,62724.6
2600,1.7443,0.5312,0.2078,0.5941,22763.15,70418.6,70418.6
2700,1.8201,0.5729,0.2556,0.676,24547.84,74759.0,74759.0
2800,1.8962,0.6161,0.2806,0.8731,26399.87,81989.4,81989.4
2900,1.9726,0.6609,0.2728,0.7408,28319.25,75641.6,75641.6
3000,2.0493,0.7072,0.2884,0.9586,30305.97,80654.8,80654.8
3100,2.1263,0.7552,0.3444,1.0617,32360.04,85829.0,85829.0
3200,2.2036,0.8047,0.5013,1.3775,34481.46,83464.6,83464.6
3300,2.2811,0.8558,0.5483,1.4804,36670.22,86732.4,86732.4
3400,2.3589,0.9084,0.5596,1.6455,38926.33,96840.2,96840.2
3500,2.4369,0.9626,0.5979,1.6143,41249.79,100392.0,100392.0
3600,2.5152,1.0184,0.6341,2.001,43640.6,111877.6,111877.6
3700,2.5937,1.0758,0.6285,1.9473,46098.75,112042.4,112042.4
3800,2.6724,1.1347,0.6403,1.8163,48624.25,103668.4,103668.4
3900,2.7514,1.1952,0.6224,2.0012,51217.09,111854.0,111854.0
4000,2.8306,1.2573,0.6786,1.9988,53877.28,116320.6,116320.6
4100,2.91,1.321,0.6593,2.0437,56604.82,112664.2,112664.2
4200,2.9896,1.3862,0.7088,2.125,59399.7,116255.0,116255.0
4300,3.0694,1.453,0.5818,1.6661,62261.93,118167.2,118167.2
4400,3.1494,1.5214,0.5736,1.9327,65191.51,131465.8,131465.8
4500,3.2297,1.5913,0.675,2.1682,68188.43,132652.2,132652.2
4600,3.3101,1.6628,0.7446,1.9903,71252.7,130070.4,130070.4
4700,3.3906,1.7359,0.8194,2.3683,74384.32,150765.6,150765.6
4800,3.4714,1.8106,0.9882,2.5968,77583.28,151095.2,151095.2
4900,3.5523,1.8868,0.8089,2.6454,80849.59,140513.0,140513.0
5000,3.6335,1.9646,0.9605,2.4937,84183.25,144381.8,144381.8
5100,3.7147,2.0439,0.8964,2.9325,87584.25,155440.2,155440.2
5200,3.7962,2.1249,0.9225,2.8754,91052.6,154321.0,154321.0
5300,3.8778,2.2074,0.932,3.5459,94588.3,148804.6,148804.6
5400,3.9596,2.2915,0.9451,2.539,98191.34,152699.4,152699.4
5500,4.0415,2.3771,0.888,2.7113,101861.73,156622.2,156622.2
5600,4.1236,2.4644,1.0506,2.4564,105599.47,159473.2,159473.2
5700,4.2059,2.5532,1.0054,2.7099,109404.55,174858.0,174858.0
5800,4.2883,2.6435,0.9119,3.0482,113276.98,175591.4,175591.4
5900,4.3708,2.7355,0.9328,3.3035,117216.76,182176.8,182176.8
6000,4.4535,2.829,1.2399,3.7152,121223.88,182851.2,182851.2
6100,4.5363,2.9241,1.1643,3.2613,125298.35,198095.2,198095.2
6200,4.6193,3.0207,1.1016,2.242,129440.17,200105.4,200105.4
6300,4.7024,3.119,0.8809,2.2337,133649.33,192000.2,192000.2
6400,4.7856,3.2188,0.9417,2.8163,137925.84,191198.8,191198.8
6500,4.869,3.3201,1.1643,3.2184,142269.69,201980.6,201980.6
6600,4.9525,3.4231,0.8705,2.2577,146680.89,205101.6,205101.6
6700,5.0361,3.5276,0.9797,2.8597,151159.44,204184.2,204184.2
6800,5.1199,3.6337,1.2957,3.7275,155705.34,209954.8,209954.8
6900,5.2038,3.7413,1.204,4.3126,160318.58,204752.0,204752.0
7000,5.2878,3.8506,1.2639,3.5772,164999.17,211921.4,211921.4
7100,5.3719,3.9614,1.3404,3.8065,169747.11,213533.6,213533.6
7200,5.4562,4.0737,1.2995,3.5816,174562.39,209339.6,209339.6
7300,5.5405,4.1877,1.3326,3.6931,179445.02,213711.4,213711.4
7400,5.625,4.3032,1.4452,4.2546,184394.99,240303.2,240303.2
7500,5.7096,4.4203,1.5113,4.3324,189412.31,242047.4,242047.4
7600,5.7944,4.539,1.5192,4.3939,194496.98,246796.2,246796.2
7700,5.8792,4.6592,1.4804,3.9434,199649.0,248506.4,248506.4
7800,5.9641,4.781,0.9105,2.5261,204868.36,247051.0,247051.0
7900,6.0492,4.9044,0.711,2.8578,210155.07,267600.8,267600.8
8000,6.1343,5.0293,0.9568,3.4013,215509.12,274182.4,274182.4
8100,6.2196,5.1558,1.6018,5.4138,220930.52,274377.8,274377.8
8200,6.305,5.2839,1.4226,5.5881,226419.27,264648.4,264648.4
8300,6.3904,5.4136,1.6974,4.9334,231975.36,256259.8,256259.8
8400,6.476,5.5448,1.5986,5.0355,237598.8,266057.0,266057.0
8500,6.5617,5.6776,1.5344,5.9746,243289.59,270922.8,270922.8
8600,6.6475,5.812,1.6235,4.3976,249047.73,277549.4,277549.4
8700,6.7333,5.9479,2.0036,5.8921,254873.21,291210.2,291210.2
8800,6.8193,6.0855,1.7508,5.2422,260766.04,287529.0,287529.0
8900,6.9054,6.2246,1.6107,5.5631,266726.21,272985.0,272985.0
9000,6.9916,6.3652,1.5512,5.7974,272753.73,277855.8,277855.8
9100,7.0778,6.5075,2.0759,6.3021,278848.6,275482.4,275482.4
9200,7.1642,6.6513,1.9626,5.4837,285010.81,289554.2,289554.2
9300,7.2506,6.7966,1.9496,5.3642,291240.37,283401.2,283401.2
9400,7.3372,6.9436,1.6348,4.9957,297537.28,286447.2,286447.2
9500,7.4238,7.0921,1.9382,5.1837,303901.53,285697.6,285697.6
9600,7.5105,7.2422,1.6272,5.3553,310333.13,317495.6,317495.6
9700,7.5973,7.3939,1.7365,6.5992,316832.08,318863.8,318863.8
9800,7.6842,7.5471,1.8858,5.5214,323398.37,335858.4,335858.4
9900,7.7712,7.7019,1.9484,5.8715,330032.01,329397.4,329397.4
10000,7.8583,7.8583,2.4756,7.8583,336733.0,336733.0,336733.0
